user_group,username,password
admin,admin1@localhost.com,p@ssw0rd
admin,admin2@localhost.com,p@ssw0rd
admin,admin3@localhost.com,p@ssw0rd
client,client1@yahoo.ccom,p@ssw0rd
client,client2@yahoo.com,p@ssw0rd
client,client3@yahoo.com,p@ssword
designer,designer1@yahoo.com,p@ssw0rd
designer,designer2@yahoo.com,p@ssw0rd
designer,designer3@yahoo.com,p@ssword
developer,developer1@yahoo.com,p@ssw0rd
developer,developer2@yahoo.com,p@ssw0rd
developer,developer3@yahoo.com,p@ssw0rd
manager,manager1@yahoo.com,p@ssw0rd
manager,manager2@yahoo.com,p@ssw0rd
manager,manager3@yahoo.com,p@ssw0rd
